timestamp,open_interest,source
1743771600,49136.40900000,bybit
1743775200,49309.20300000,bybit
1743778800,50182.28500000,bybit
1743782400,49986.16900000,bybit
1743786000,50030.56700000,bybit
1743789600,50881.70900000,bybit
1743793200,51374.56100000,bybit
1743796800,51506.20900000,bybit
1743800400,50730.76300000,bybit
1743804000,50806.46600000,bybit
1743807600,50834.54300000,bybit
1743811200,50905.81100000,bybit
1743814800,50772.74600000,bybit
1743818400,50410.51500000,bybit
1743822000,50467.60100000,bybit
1743825600,50581.12200000,bybit
1743829200,50546.37600000,bybit
1743832800,50616.82400000,bybit
1743836400,50583.25200000,bybit
1743840000,50580.65600000,bybit
1743843600,50571.80500000,bybit
1743847200,50528.51500000,bybit
1743850800,50466.70700000,bybit
1743854400,50621.47800000,bybit
1743858000,50531.09600000,bybit
1743861600,50592.05700000,bybit
1743865200,50568.58700000,bybit
1743868800,50780.47600000,bybit
1743872400,50649.86800000,bybit
1743876000,50592.65500000,bybit
1743879600,50396.67800000,bybit
1743883200,50491.04000000,bybit
1743886800,50588.59800000,bybit
1743890400,50298.77500000,bybit
1743894000,50546.99200000,bybit
1743897600,50464.32700000,bybit
1743901200,50666.58000000,bybit
1743904800,51057.00200000,bybit
1743908400,50994.86300000,bybit
1743912000,50980.41400000,bybit
1743915600,50925.52600000,bybit
1743919200,51002.64800000,bybit
1743922800,50787.96700000,bybit
1743926400,50832.88100000,bybit
1743930000,50805.68800000,bybit
1743933600,50802.28400000,bybit
1743937200,51018.92600000,bybit
1743940800,51228.18000000,bybit
1743944400,51240.06400000,bybit
1743948000,51867.77700000,bybit
1743951600,52045.39100000,bybit
1743955200,52047.03500000,bybit
1743958800,51945.59100000,bybit
1743962400,52276.48600000,bybit
1743966000,51699.34500000,bybit
1743969600,52202.53000000,bybit
1743973200,52560.86700000,bybit
1743976800,52449.12800000,bybit
1743980400,53193.11200000,bybit
1743984000,52375.21400000,bybit
1743987600,52620.81700000,bybit
1743991200,52508.30100000,bybit
1743994800,52426.93900000,bybit
1743998400,52814.07300000,bybit
1744002000,52412.42300000,bybit
1744005600,52941.12400000,bybit
1744009200,50074.49600000,bybit
1744012800,50662.22800000,bybit
1744016400,50855.31900000,bybit
1744020000,51039.16000000,bybit
1744023600,50717.87800000,bybit
1744027200,50582.16900000,bybit
1744030800,51388.99800000,bybit
1744034400,52057.63100000,bybit
1744038000,49174.12400000,bybit
1744041600,49306.72800000,bybit
1744045200,48654.86500000,bybit
1744048800,48207.33900000,bybit
1744052400,47763.91400000,bybit
1744056000,47740.15700000,bybit
1744059600,47776.22800000,bybit
1744063200,47404.13900000,bybit
1744066800,47520.23400000,bybit
1744070400,47369.67500000,bybit
1744074000,47591.58700000,bybit
1744077600,47294.97900000,bybit
1744081200,47896.52600000,bybit
1744084800,48411.11700000,bybit
1744088400,48417.62900000,bybit
1744092000,48153.08300000,bybit
1744095600,48393.38200000,bybit
1744099200,48507.74600000,bybit
1744102800,48655.28000000,bybit
1744106400,48628.70100000,bybit
1744110000,48754.79500000,bybit
1744113600,49353.85700000,bybit
1744117200,49511.26600000,bybit
1744120800,49429.64200000,bybit
1744124400,48714.75000000,bybit
1744128000,49207.55200000,bybit
1744131600,49245.28500000,bybit
1744135200,50337.96200000,bybit
1744138800,50423.27200000,bybit
1744142400,49897.52400000,bybit
1744146000,50182.48800000,bybit
1744149600,50415.17900000,bybit
1744153200,50432.66300000,bybit
1744156800,51323.33800000,bybit
1744160400,51207.46600000,bybit
1744164000,50124.55400000,bybit
1744167600,49909.49200000,bybit
1744171200,49982.51100000,bybit
1744174800,50568.88800000,bybit
1744178400,50428.20400000,bybit
1744182000,50111.63500000,bybit
1744185600,49873.10700000,bybit
1744189200,50184.64800000,bybit
1744192800,50697.74400000,bybit
1744196400,50723.28000000,bybit
1744200000,48915.63800000,bybit
1744203600,49639.71100000,bybit
1744207200,49828.86300000,bybit
1744210800,49019.50500000,bybit
1744214400,49075.49800000,bybit
1744218000,50506.03000000,bybit
1744221600,50488.15300000,bybit
1744225200,49947.24300000,bybit
1744228800,49461.70500000,bybit
1744232400,49323.45100000,bybit
1744236000,48257.94500000,bybit
1744239600,48911.74200000,bybit
1744243200,48913.84400000,bybit
1744246800,48779.50800000,bybit
1744250400,48574.60500000,bybit
1744254000,48976.88400000,bybit
1744257600,48709.87200000,bybit
1744261200,49079.46200000,bybit
1744264800,48812.06400000,bybit
1744268400,48587.13200000,bybit
1744272000,48259.26800000,bybit
1744275600,48241.80700000,bybit
1744279200,47558.40700000,bybit
1744282800,47322.07300000,bybit
1744286400,47484.17500000,bybit
1744290000,47319.06800000,bybit
1744293600,47420.95800000,bybit
1744297200,47009.39400000,bybit
1744300800,47427.90700000,bybit
1744304400,48047.88700000,bybit
1744308000,48065.36400000,bybit
1744311600,47927.44700000,bybit
1744315200,48009.66300000,bybit
1744318800,48129.53400000,bybit
1744322400,47970.03900000,bybit
1744326000,47426.36600000,bybit
1744329600,47315.18700000,bybit
1744333200,47171.16300000,bybit
1744336800,47197.28300000,bybit
1744340400,47282.59000000,bybit
1744344000,47309.39100000,bybit
1744347600,47723.07800000,bybit
1744351200,47735.72400000,bybit
1744354800,48338.42300000,bybit
1744358400,48462.41300000,bybit
1744362000,49778.98900000,bybit
1744365600,50675.17900000,bybit
1744369200,51719.71700000,bybit
1744372800,51945.05400000,bybit
1744376400,52186.74200000,bybit
1744380000,52869.07600000,bybit
1744383600,51980.88000000,bybit
1744387200,52007.93500000,bybit
1744390800,51556.18800000,bybit
1744394400,52064.78800000,bybit
1744398000,52336.67200000,bybit
1744401600,52556.67100000,bybit
1744405200,51593.88100000,bybit
1744408800,51342.22200000,bybit
1744412400,51224.68200000,bybit
1744416000,51208.68200000,bybit
1744419600,51464.47000000,bybit
1744423200,51515.83500000,bybit
1744426800,50946.62400000,bybit
1744430400,50961.26300000,bybit
1744434000,50678.30000000,bybit
1744437600,50807.37600000,bybit
1744441200,50955.83400000,bybit
1744444800,50963.27100000,bybit
1744448400,51244.48700000,bybit
1744452000,51225.33000000,bybit
1744455600,51379.67900000,bybit
1744459200,51396.53400000,bybit
1744462800,51523.56700000,bybit
1744466400,51616.25600000,bybit
