timestamp,funding_rate,source
1729324800,0.0001,bybit
1729353600,0.0001,bybit
1729382400,0.0001,bybit
1729411200,0.0001,bybit
1729440000,0.0001,bybit
1729468800,0.0001,bybit
1729497600,0.0001,bybit
1729526400,0.0001,bybit
1729555200,0.0001,bybit
1729584000,0.0001,bybit
1729612800,0.0001,bybit
1729641600,0.0001,bybit
1729670400,0.0001,bybit
1729699200,0.0001,bybit
1729728000,0.0001,bybit
1729756800,0.0001,bybit
1729785600,0.0001,bybit
1729814400,0.0001,bybit
1729843200,0.00007097,bybit
1729872000,0.0001,bybit
1729900800,0.00007515,bybit
1729929600,0.0001,bybit
1729958400,0.00008614,bybit
1729987200,0.00008659,bybit
1730016000,0.0001,bybit
1730044800,0.00009734,bybit
1730073600,0.0001,bybit
1730102400,0.0001,bybit
1730131200,0.0001,bybit
1730160000,0.0001,bybit
1730188800,0.0001,bybit
1730217600,0.0001,bybit
1730246400,0.0001,bybit
1730275200,0.0001,bybit
1730304000,0.0001,bybit
1730332800,0.0001,bybit
1730361600,0.0001,bybit
1730390400,0.0001,bybit
1730419200,0.0001,bybit
1730448000,0.0001,bybit
1730476800,0.0001,bybit
1730505600,0.0001,bybit
1730534400,0.0001,bybit
1730563200,0.0001,bybit
1730592000,0.0001,bybit
1730620800,0.0001,bybit
1730649600,0.0001,bybit
1730678400,0.0001,bybit
1730707200,0.0001,bybit
1730736000,0.0001,bybit
1730764800,0.0001,bybit
1730793600,0.0001,bybit
1730822400,0.0001,bybit
1730851200,0.00007377,bybit
1730880000,0.0001,bybit
1730908800,0.0001,bybit
1730937600,0.0001,bybit
1730966400,0.00011201,bybit
1730995200,0.0001,bybit
1731024000,0.0001,bybit
1731052800,0.0001,bybit
1731081600,0.0001,bybit
1731110400,0.0001,bybit
1731139200,0.0001,bybit
1731168000,0.0001,bybit
1731196800,0.0001,bybit
1731225600,0.00032792,bybit
1731254400,0.00018979,bybit
1731283200,0.00039065,bybit
1731312000,0.00017995,bybit
1731340800,0.0001,bybit
1731369600,0.00038564,bybit
1731398400,0.00061844,bybit
1731427200,0.00050342,bybit
1731456000,0.00014477,bybit
1731484800,0.0001,bybit
1731513600,0.00035174,bybit
1731542400,0.0001,bybit
1731571200,0.00016549,bybit
1731600000,0.00012832,bybit
1731628800,0.0001,bybit
1731657600,0.0001,bybit
1731686400,0.0001,bybit
1731715200,0.00019471,bybit
1731744000,0.00039173,bybit
1731772800,0.00025031,bybit
1731801600,0.00029261,bybit
1731830400,0.00030785,bybit
1731859200,0.00035655,bybit
1731888000,0.00021098,bybit
1731916800,0.0005391,bybit
1731945600,0.00033111,bybit
1731974400,0.00031835,bybit
1732003200,0.00039932,bybit
1732032000,0.00024229,bybit
1732060800,0.0001,bybit
1732089600,0.00011458,bybit
1732118400,0.00016424,bybit
1732147200,0.0001,bybit
1732176000,0.00014189,bybit
1732204800,0.00017392,bybit
1732233600,0.00015928,bybit
1732262400,0.00028963,bybit
1732291200,0.00023833,bybit
1732320000,0.0001,bybit
1732348800,0.00017386,bybit
1732377600,0.00025348,bybit
1732406400,0.00034942,bybit
1732435200,0.00032388,bybit
1732464000,0.00029092,bybit
1732492800,0.00036288,bybit
1732521600,0.00035212,bybit
1732550400,0.00034875,bybit
1732579200,0.0001,bybit
1732608000,0.00012749,bybit
1732636800,0.0001,bybit
1732665600,0.00023609,bybit
1732694400,0.00023229,bybit
1732723200,0.00027093,bybit
1732752000,0.00019422,bybit
1732780800,0.00019894,bybit
1732809600,0.00023188,bybit
1732838400,0.00030861,bybit
1732867200,0.0002543,bybit
1732896000,0.00035268,bybit
1732924800,0.00016876,bybit
1732953600,0.00028189,bybit
1732982400,0.00015012,bybit
1733011200,0.0001532,bybit
1733040000,0.0003311,bybit
1733068800,0.00016625,bybit
1733097600,0.00015058,bybit
1733126400,0.00014214,bybit
1733155200,0.0001,bybit
1733184000,0.0001,bybit
1733212800,0.00025103,bybit
1733241600,0.00012348,bybit
1733270400,0.00027771,bybit
1733299200,0.00042588,bybit
1733328000,0.00036313,bybit
1733356800,0.00031187,bybit
1733385600,0.00108552,bybit
1733414400,0.00064806,bybit
1733443200,0.00013466,bybit
1733472000,0.0001,bybit
1733500800,0.0001,bybit
1733529600,0.00015125,bybit
1733558400,0.0001,bybit
1733587200,0.0001,bybit
1733616000,0.00026121,bybit
1733644800,0.00024888,bybit
1733673600,0.00029123,bybit
1733702400,0.00017858,bybit
1733731200,0.0001,bybit
1733760000,0.00015788,bybit
1733788800,0.0001,bybit
1733817600,0.0001,bybit
1733846400,0.0001,bybit
1733875200,0.0001,bybit
1733904000,0.0001,bybit
1733932800,0.0001,bybit
1733961600,0.0001,bybit
1733990400,0.0001,bybit
1734019200,0.0001,bybit
1734048000,0.0001,bybit
1734076800,0.0001,bybit
1734105600,0.0001,bybit
1734134400,0.0001,bybit
1734163200,0.0001,bybit
1734192000,0.0001,bybit
1734220800,0.0001,bybit
1734249600,0.0001,bybit
1734278400,0.0001,bybit
1734307200,0.0001,bybit
1734336000,0.0001,bybit
1734364800,0.0001,bybit
1734393600,0.0001,bybit
1734422400,0.0001,bybit
1734451200,0.0001,bybit
1734480000,0.0001,bybit
1734508800,0.00009332,bybit
1734537600,0.0001,bybit
1734566400,0.00006854,bybit
1734595200,-0.00004531,bybit
1734624000,-0.00002748,bybit
1734652800,-0.00004799,bybit
1734681600,0.00002774,bybit
1734710400,0.00009101,bybit
1734739200,-0.00002976,bybit
1734768000,-0.00003727,bybit
1734796800,-0.00001912,bybit
1734825600,0.00001532,bybit
1734854400,0.0000456,bybit
1734883200,0.00002233,bybit
1734912000,0.00002123,bybit
1734940800,0.00000435,bybit
1734969600,0.00003701,bybit
1734998400,0.0000498,bybit
1735027200,0.00005237,bybit
1735056000,0.00008079,bybit
1735084800,0.0001,bybit
1735113600,0.0001,bybit
1735142400,0.0001,bybit
1735171200,0.0001,bybit
1735200000,0.00006989,bybit
1735228800,0.00004138,bybit
1735257600,0.00001089,bybit
1735286400,0.00005263,bybit
1735315200,0.00000327,bybit
1735344000,0.00000693,bybit
1735372800,-0.00003321,bybit
1735401600,0.00000577,bybit
1735430400,0.00003548,bybit
1735459200,0.0000006,bybit
1735488000,0.00003159,bybit
1735516800,-0.00005981,bybit
1735545600,-0.00001761,bybit
1735574400,-0.00002975,bybit
1735603200,0.00000865,bybit
1735632000,-0.0000019,bybit
1735660800,0.0001,bybit
1735689600,0.0001,bybit
1735718400,0.00007085,bybit
1735747200,0.00006921,bybit
1735776000,0.0001,bybit
1735804800,0.0001,bybit
1735833600,0.0001,bybit
1735862400,0.0001,bybit
1735891200,0.00009015,bybit
1735920000,0.0001,bybit
1735948800,0.00003779,bybit
1735977600,0.00009859,bybit
1736006400,0.00005258,bybit
1736035200,0.0001,bybit
1736064000,0.0001,bybit
1736092800,0.00007478,bybit
1736121600,0.0001,bybit
1736150400,0.0001,bybit
1736179200,0.0001,bybit
1736208000,0.00005254,bybit
1736236800,0.00002899,bybit
1736265600,0.0001,bybit
1736294400,0.00008585,bybit
1736323200,0.00004936,bybit
1736352000,0.00009631,bybit
1736380800,0.0000643,bybit
1736409600,0.00005118,bybit
1736438400,-0.00000846,bybit
1736467200,0.00006938,bybit
1736496000,0.00000902,bybit
1736524800,0.00007043,bybit
1736553600,0.0000608,bybit
1736582400,0.00006697,bybit
1736611200,0.00004981,bybit
1736640000,0.0000831,bybit
1736668800,0.00006034,bybit
1736697600,0.00008847,bybit
1736726400,0.00009996,bybit
1736755200,0.00007361,bybit
1736784000,0.00000661,bybit
1736812800,0.0001,bybit
1736841600,0.0001,bybit
1736870400,0.0001,bybit
1736899200,0.00005343,bybit
1736928000,0.00007032,bybit
1736956800,0.0001,bybit
1736985600,0.00005755,bybit
1737014400,0.0001,bybit
1737043200,0.0001,bybit
1737072000,0.00007555,bybit
1737100800,0.0001,bybit
